id,country,debt_external
101,Eritrea,"$1,094,000,000 "
152,Belize,"$1,048,000,000 "
172,West Bank,"$1,040,000,000 "
210,Maldives,"$890,800,000 "
183,Faroe Islands,"$888,800,000 "
92,Suriname,"$860,000,000 "
151,Djibouti,"$821,600,000 "
142,Lesotho,"$794,000,000 "
157,Fiji,"$779,900,000 "
126,Togo,"$719,000,000 "
147,Burundi,"$677,200,000 "
45,Central African Republic,"$634,200,000 "
159,Swaziland,"$609,500,000 "
207,Grenada,"$538,000,000 "
218,Aruba,"$533,400,000 "
167,"Gambia, The","$517,700,000 "
193,Saint Lucia,"$446,400,000 "
201,Antigua and Barbuda,"$441,200,000 "
104,Liberia,"$438,100,000 "
53,Turkmenistan,"$428,900,000 "
185,Sao Tome and Principe,"$406,800,000 "
178,Samoa,"$368,300,000 "
169,Kosovo,"$326,000,000 "
164,Vanuatu,"$307,700,000 "
189,Dominica,"$274,900,000 "
144,Solomon Islands,"$255,500,000 "
204,Saint Vincent and the Grenadines,"$255,300,000 "
190,Tonga,"$215,800,000 "
212,Saint Kitts and Nevis,"$158,900,000 "
180,Comoros,"$142,900,000 "
215,Cook Islands,"$141,000,000 "
217,Marshall Islands,"$87,000,000 "
156,New Caledonia,"$79,000,000 "
191,"Micronesia, Federated States of","$60,800,000 "
12,Greenland,"$36,400,000 "
220,British Virgin Islands,"$36,100,000 "
240,Nauru,"$33,300,000 "
187,Kiribati,"$10,000,000 "
226,Montserrat,"$8,900,000 "
227,Anguilla,"$8,800,000 "
221,Wallis and Futuna,"$3,670,000 "
213,Niue,"$418,000 "
198,Palau,$0 
173,Brunei,$0 
237,Macau,$0 
219,Liechtenstein,$0 
