id,country,current_acct_balance
112,Jordan,"($4,766,000,000)"
31,Tanzania,"($4,857,000,000)"
118,Panama,"($5,064,000,000)"
82,Ghana,"($5,149,000,000)"
89,Syria,"($5,879,000,000)"
35,Mozambique,"($5,884,000,000)"
30,Egypt,"($6,035,000,000)"
76,New Zealand,"($8,358,000,000)"
18,Iran,"($8,659,000,000)"
141,Belgium,"($9,100,000,000)"
58,Morocco,"($9,595,000,000)"
20,Peru,"($10,310,000,000)"
38,Chile,"($10,970,000,000)"
26,Colombia,"($11,020,000,000)"
70,Poland,"($11,060,000,000)"
46,Ukraine,"($11,920,000,000)"
14,Mexico,"($14,180,000,000)"
25,South Africa,"($23,780,000,000)"
15,Indonesia,"($28,720,000,000)"
27,European Union,"($34,490,000,000)"
6,Australia,"($44,900,000,000)"
43,France,"($47,300,000,000)"
37,Turkey,"($58,350,000,000)"
2,Canada,"($59,500,000,000)"
7,India,"($74,790,000,000)"
5,Brazil,"($77,630,000,000)"
80,United Kingdom,"($93,600,000,000)"
3,United States,"($360,700,000,000)"
